item_name,category,subcategory,matched_term,match_score
Local Purchase-Spray Gun-,STATIONERY & MISC,spray gun,spray gun,0.92
Local Purchase-Sticker,STATIONERY & MISC,sticker,sticker,0.92
Local Purchase-double Tape-,STATIONERY & MISC,tape,tape,0.92
Local Purchase-pen,STATIONERY & MISC,pen,pen,0.92
Local Purchase-voucher,STATIONERY & MISC,cash voucher book,cash voucher book,0.5641
Local Purchase-voucher book-,STATIONERY & MISC,voucher book,voucher book,0.92
M Seal,STATIONERY & MISC,seal ink,seal ink,0.5714
Nandanam-Rain Coat-,STATIONERY & MISC,rain coat,rain coat,0.92
Note Book,STATIONERY & MISC,note book,note book,1.0
Note Book small,STATIONERY & MISC,note book,note book,0.95
Pad Lock,STATIONERY & MISC,pad lock,pad lock,1.0
Pasta-Penne Rigatte,STATIONERY & MISC,pen,pen,0.92
Pasta-Penne Rigatte-500gm,STATIONERY & MISC,pen,pen,0.92
Pooja Items,STATIONERY & MISC,decoration items,decoration items,0.5926
Puramate Pasta-Penne Rigatte 500g,STATIONERY & MISC,pen,pen,0.92
Puramate-Pasta-Penne Rigatte-500Gm,STATIONERY & MISC,pen,pen,0.92
Rain Coat,STATIONERY & MISC,rain coat,rain coat,1.0
Reitzel-Jalapeno Slice-2.9kg,STATIONERY & MISC,pen,pen,0.92
Safa Books -Note Book-,STATIONERY & MISC,note book,note book,0.92
Safa Books -PEN,STATIONERY & MISC,pen,pen,0.92
Safa Books -Pen,STATIONERY & MISC,pen,pen,0.92
Safa Books -pen,STATIONERY & MISC,pen,pen,0.92
Safa Books -stapler -,STATIONERY & MISC,stapler,stapler,0.92
Safa Books -voucher book,STATIONERY & MISC,voucher book,voucher book,0.92
Seal Ink,STATIONERY & MISC,seal ink,seal ink,1.0
Spray-Gun,STATIONERY & MISC,spray gun,spray gun,1.0
Staff Attendence Register,STATIONERY & MISC,attendance register,attendance register,0.8182
Stapler Pin,STATIONERY & MISC,stapler pin,stapler pin,1.0
TAJIR JALAPENO SLICES 2.5 KG,STATIONERY & MISC,pen,pen,0.92
Tajir Habit-Jalapeno Slices-2.9 Kg,STATIONERY & MISC,pen,pen,0.92
apron,STATIONERY & MISC,apron,apron,1.0
cello tape,STATIONERY & MISC,tape,tape,0.92
decoration-Baloon,STATIONERY & MISC,decoration items,decoration items,0.6667
decoration-Mala,STATIONERY & MISC,decoration items,decoration items,0.7742
decoration-New Year mala,STATIONERY & MISC,decoration items,decoration items,0.65
decoration-Star-1,STATIONERY & MISC,decoration items,decoration items,0.7273
decoration-Star-2,STATIONERY & MISC,decoration items,decoration items,0.7273
file folder,STATIONERY & MISC,file folder,file folder,1.0
led bulb,STATIONERY & MISC,led bulb,led bulb,1.0
pen,STATIONERY & MISC,pen,pen,1.0
spray paint,STATIONERY & MISC,spray gun,spray gun,0.7
stamp pad,STATIONERY & MISC,stamp pad,stamp pad,1.0
sticker,STATIONERY & MISC,sticker,sticker,1.0
voucher book,STATIONERY & MISC,voucher book,voucher book,1.0
A.N.A Agencies-Spilt Pin-,UNMAPPED,UNMAPPED,,0.45
A.N.A Agencies-screw,UNMAPPED,UNMAPPED,,0.4242
APIS Honey 1kg,UNMAPPED,UNMAPPED,,0.4444
Agarbathi,UNMAPPED,UNMAPPED,,0.45
Agarbathi-Small,UNMAPPED,UNMAPPED,,0.45
Apis-Honey-1Ltr,UNMAPPED,UNMAPPED,,0.45
Black Olives Slice,UNMAPPED,UNMAPPED,,0.45
Black Olives Slice-3 kg,UNMAPPED,UNMAPPED,,0.45
Blue curacao mojito,UNMAPPED,UNMAPPED,,0.45
Brocoli,UNMAPPED,UNMAPPED,,0.45
Brocoli-isha Vegitable,UNMAPPED,UNMAPPED,,0.45
Bulb 584,UNMAPPED,UNMAPPED,,0.5
Bush Colour,UNMAPPED,UNMAPPED,,0.45
Candyman Fantastick,UNMAPPED,UNMAPPED,,0.4375
Capcicum-Veg,UNMAPPED,UNMAPPED,,0.45
Cashew nut,UNMAPPED,UNMAPPED,,0.45
Cauli Flower-veg,UNMAPPED,UNMAPPED,,0.45
Chembu-veg,UNMAPPED,UNMAPPED,,0.45
Citymart Supermarket-egg-,UNMAPPED,UNMAPPED,,0.4242
Citymart Supermarket-lighter-,UNMAPPED,UNMAPPED,,0.4286
"Diamond Hotel ware and Cutlerys-Glare Rock Dinner Plate 10.75""",UNMAPPED,UNMAPPED,,0.45
Dvc-Mango Beverage Blend-750Ml,UNMAPPED,UNMAPPED,,0.45
ENGLISH vegetables,UNMAPPED,UNMAPPED,,0.4242
Egg 7.5,UNMAPPED,UNMAPPED,,0.3333
Egg-5.5,UNMAPPED,UNMAPPED,,0.3333
Essar Associates-Soft Drink Bill,UNMAPPED,UNMAPPED,,0.4082
Exo spnge,UNMAPPED,UNMAPPED,,0.45
Fathima Super Market-Egg-,UNMAPPED,UNMAPPED,,0.4444
Fathima Super Market-egg,UNMAPPED,UNMAPPED,,0.4444
Fathima Super Market-egg-,UNMAPPED,UNMAPPED,,0.4444
Fruits,UNMAPPED,UNMAPPED,,0.45
Gas Tube,UNMAPPED,UNMAPPED,,0.45
Grain mild breading,UNMAPPED,UNMAPPED,,0.45
Green Peas,UNMAPPED,UNMAPPED,,0.45
Hand Wash,UNMAPPED,UNMAPPED,,0.45
Hersheys Cocoa-70grm,UNMAPPED,UNMAPPED,,0.45
Hersheys Syrup-200grm,UNMAPPED,UNMAPPED,,0.4865
Honey-1ltr,UNMAPPED,UNMAPPED,,0.5
I square-V3 Pin Cable,UNMAPPED,UNMAPPED,,0.45
Ice Berg,UNMAPPED,UNMAPPED,,0.45
Ice cube,UNMAPPED,UNMAPPED,,0.45
Ice cube/70,UNMAPPED,UNMAPPED,,0.45
Ice-cube,UNMAPPED,UNMAPPED,,0.45
Indian Oil-pulser-,UNMAPPED,UNMAPPED,,0.45
Isha Fresh Vegitables-Parcely-,UNMAPPED,UNMAPPED,,0.4
Isha Fresh Vegitables-Red Yellow Capcicum-,UNMAPPED,UNMAPPED,,0.3846
Isha Fresh Vegitalbles-Eng Veg,UNMAPPED,UNMAPPED,,0.439
Jar Caplar,UNMAPPED,UNMAPPED,,0.45
Jeerakham - Loose,UNMAPPED,UNMAPPED,,0.45
Jumbo Cover-Blue,UNMAPPED,UNMAPPED,,0.45
KOT Printing Rolls,UNMAPPED,UNMAPPED,,0.45
KOT ROLLS,UNMAPPED,UNMAPPED,,0.45
KTP Vegitables-vegitables,UNMAPPED,UNMAPPED,,0.359
KTP Vegitables-vegitables-,UNMAPPED,UNMAPPED,,0.359
LED Star,UNMAPPED,UNMAPPED,,0.5
Lime Pickle-500GRM-Rahath,UNMAPPED,UNMAPPED,,0.4348
Lion Honey 1kg,UNMAPPED,UNMAPPED,,0.4444
Local Purchase-Baloon,UNMAPPED,UNMAPPED,,0.45
Local Purchase-Baloon Handle,UNMAPPED,UNMAPPED,,0.45
Local Purchase-Bolt-,UNMAPPED,UNMAPPED,,0.45
Local Purchase-Egg,UNMAPPED,UNMAPPED,,0.45
Local Purchase-Egg-,UNMAPPED,UNMAPPED,,0.45
Local Purchase-Floor Spring EBCO-,UNMAPPED,UNMAPPED,,0.4286
Local Purchase-Gas HP,UNMAPPED,UNMAPPED,,0.45
Local Purchase-Green Plants,UNMAPPED,UNMAPPED,,0.4211
Local Purchase-Hanging Holder Metal-,UNMAPPED,UNMAPPED,,0.45
Local Purchase-Ice-Cube,UNMAPPED,UNMAPPED,,0.45
Local Purchase-Local Purchase,UNMAPPED,UNMAPPED,,0.3913
Local Purchase-Mixer Repair-coupler,UNMAPPED,UNMAPPED,,0.4082
Local Purchase-Poly Dust,UNMAPPED,UNMAPPED,,0.45
Local Purchase-SR200 Grip Plus,UNMAPPED,UNMAPPED,,0.4
Local Purchase-Stick,UNMAPPED,UNMAPPED,,0.45
Local Purchase-Washer,UNMAPPED,UNMAPPED,,0.45
Local Purchase-agarbatti,UNMAPPED,UNMAPPED,,0.439
Local Purchase-bike spare parts-,UNMAPPED,UNMAPPED,,0.45
Local Purchase-cashew nut,UNMAPPED,UNMAPPED,,0.4103
Local Purchase-egg,UNMAPPED,UNMAPPED,,0.45
Local Purchase-egg-,UNMAPPED,UNMAPPED,,0.45
Local Purchase-kadala,UNMAPPED,UNMAPPED,,0.45
Local Purchase-knife-,UNMAPPED,UNMAPPED,,0.45
Local Purchase-lighter,UNMAPPED,UNMAPPED,,0.4444
Local Purchase-micro,UNMAPPED,UNMAPPED,,0.45
Local Purchase-stick,UNMAPPED,UNMAPPED,,0.45
Local Purchase-vegetable,UNMAPPED,UNMAPPED,,0.45
Local Purchase-vegitables,UNMAPPED,UNMAPPED,,0.45
Looco'S-Large Box-50Nos,UNMAPPED,UNMAPPED,,0.4737
Looco'S-Medium Box-50Nos,UNMAPPED,UNMAPPED,,0.5
Looco'S-Moktails Glass-50Nos,UNMAPPED,UNMAPPED,,0.45
Looco'S-Schezwan Mix-1Kg,UNMAPPED,UNMAPPED,,0.4737
Looco'S-Tandoori Mix-1Kg,UNMAPPED,UNMAPPED,,0.5128
M Thuvara,UNMAPPED,UNMAPPED,,0.4348
MBS Traders-Egg,UNMAPPED,UNMAPPED,,0.45
MBS Traders-Micro 20x26,UNMAPPED,UNMAPPED,,0.45
MBS Traders-Micro 20x26-,UNMAPPED,UNMAPPED,,0.45
MBS Traders-Micro 27x30-,UNMAPPED,UNMAPPED,,0.45
MBS Traders-Micro-,UNMAPPED,UNMAPPED,,0.45
MBS Traders-agarbatti,UNMAPPED,UNMAPPED,,0.4375
MBS Traders-egg,UNMAPPED,UNMAPPED,,0.45
MBS Traders-jumbo cover,UNMAPPED,UNMAPPED,,0.45
MBS Traders-jumbo cover-,UNMAPPED,UNMAPPED,,0.45
MBS Traders-micro 16x20,UNMAPPED,UNMAPPED,,0.45
MBS Traders-micro 16x20-,UNMAPPED,UNMAPPED,,0.45
Maintenance-Chair Welding charges-,UNMAPPED,UNMAPPED,,0.5091
Maintenance-Make line Repair,UNMAPPED,UNMAPPED,,0.5
Mango Crush Sauce 750ml Malas,UNMAPPED,UNMAPPED,,0.45
Mayonise premium,UNMAPPED,UNMAPPED,,0.45
Micro 10x13,UNMAPPED,UNMAPPED,,0.3704
Micro 13x16,UNMAPPED,UNMAPPED,,0.3704
Micro 16x20,UNMAPPED,UNMAPPED,,0.4
Micro 16x20-Small pkt,UNMAPPED,UNMAPPED,,0.4
Micro 20x26,UNMAPPED,UNMAPPED,,0.4
Micro 26x30,UNMAPPED,UNMAPPED,,0.4
Micro 27x30,UNMAPPED,UNMAPPED,,0.4
"Mix Veg, pickle-250g-tholur",UNMAPPED,UNMAPPED,,0.45
Neo Black Sliced Olives,UNMAPPED,UNMAPPED,,0.45
Neo Red Paprika 3Kg,UNMAPPED,UNMAPPED,,0.45
Neo-Black Sliced Olives-3kg,UNMAPPED,UNMAPPED,,0.45
Neo-Red Paprika Slice-2.5Kg,UNMAPPED,UNMAPPED,,0.45
PVC Bend,UNMAPPED,UNMAPPED,,0.45
Padlock,UNMAPPED,UNMAPPED,,0.45
Parsely- Isga Vegitable,UNMAPPED,UNMAPPED,,0.45
Parsely- Isha Vegitable,UNMAPPED,UNMAPPED,,0.45
Parsely-Veg,UNMAPPED,UNMAPPED,,0.45
Pasta-Gomiti Rigatte-500gm,UNMAPPED,UNMAPPED,,0.4651
Phoenix Ice Cubes-Ice Cubes-,UNMAPPED,UNMAPPED,,0.4186
Phoenix Ice Cubes-ice cubes,UNMAPPED,UNMAPPED,,0.4186
Phoenix Ice Cubes-ice cubes-,UNMAPPED,UNMAPPED,,0.4186
Puramate Pasta-Gomiti Rigate - macroni - 500g,UNMAPPED,UNMAPPED,,0.45
Puramate Pasta-Gomiti Rigate 500g,UNMAPPED,UNMAPPED,,0.45
Puramate-Pasta-Gomiti Rigatte-500Gm,UNMAPPED,UNMAPPED,,0.45
Rat Trap,UNMAPPED,UNMAPPED,,0.45
Red Paprika Slice,UNMAPPED,UNMAPPED,,0.45
Red Paprika Slice-2.5kg,UNMAPPED,UNMAPPED,,0.45
Red Yellow Capcicum,UNMAPPED,UNMAPPED,,0.45
Rose lichy crush mojito,UNMAPPED,UNMAPPED,,0.45
Royal HyperMarket-Hersheys Chocolate syrup,UNMAPPED,UNMAPPED,,0.45
Rubber Seal,UNMAPPED,UNMAPPED,,0.45
Safa Books -Whitner,UNMAPPED,UNMAPPED,,0.45
Sarwar Black Olive SLices 3.1KG,UNMAPPED,UNMAPPED,,0.45
Sirocco-Black Olives Slice-3 Kg,UNMAPPED,UNMAPPED,,0.45
Snakeguard-Veg,UNMAPPED,UNMAPPED,,0.45
Sumeru Nuggets Premium 1Kg,UNMAPPED,UNMAPPED,,0.5
Summeru Neggets Premium 1KG,UNMAPPED,UNMAPPED,,0.449
Surya Auto Agencies-Engine Oil-,UNMAPPED,UNMAPPED,,0.45
TAJIR HABIT Pinaple Slice 50g,UNMAPPED,UNMAPPED,,0.45
Towel,UNMAPPED,UNMAPPED,,0.45
UrumbPodi-Fenval,UNMAPPED,UNMAPPED,,0.45
VEG,UNMAPPED,UNMAPPED,,0.4444
Veeba Barbequesauce 1KG,UNMAPPED,UNMAPPED,,0.4375
Veeba-Schezwansauce-1Kg,UNMAPPED,UNMAPPED,,0.45
Vegitables,UNMAPPED,UNMAPPED,,0.45
Vilekkenna,UNMAPPED,UNMAPPED,,0.45
Vineger,UNMAPPED,UNMAPPED,,0.45
W/L Mouse Glid Pro,UNMAPPED,UNMAPPED,,0.4138
Wall Hook,UNMAPPED,UNMAPPED,,0.45
Whitner,UNMAPPED,UNMAPPED,,0.45
Zippy  B.Fast Sausage,UNMAPPED,UNMAPPED,,0.5143
badam,UNMAPPED,UNMAPPED,,0.45
bio covers,UNMAPPED,UNMAPPED,,0.4706
black olive slice Habit,UNMAPPED,UNMAPPED,,0.5128
black olive slice btl 450gm,UNMAPPED,UNMAPPED,,0.4651
brinjal-veg,UNMAPPED,UNMAPPED,,0.45
bucket-Plastic,UNMAPPED,UNMAPPED,,0.5185
cashew,UNMAPPED,UNMAPPED,,0.45
cheese cake cassata syrup,UNMAPPED,UNMAPPED,,0.5
churanga,UNMAPPED,UNMAPPED,,0.45
coffee mocha syrup taste craft,UNMAPPED,UNMAPPED,,0.4783
colour,UNMAPPED,UNMAPPED,,0.45
cover colour,UNMAPPED,UNMAPPED,,0.45
diya wicks,UNMAPPED,UNMAPPED,,0.45
egg 40,UNMAPPED,UNMAPPED,,0.4
egg 6,UNMAPPED,UNMAPPED,,0.3529
egg 7,UNMAPPED,UNMAPPED,,0.3529
egg 8,UNMAPPED,UNMAPPED,,0.3529
egg-6.50,UNMAPPED,UNMAPPED,,0.3529
eng veg,UNMAPPED,UNMAPPED,,0.45
eng.veg,UNMAPPED,UNMAPPED,,0.45
five Star Traders-Agarbatti-,UNMAPPED,UNMAPPED,,0.449
five Star Traders-Badam-,UNMAPPED,UNMAPPED,,0.4444
five Star Traders-Chilly whole-,UNMAPPED,UNMAPPED,,0.45
five Star Traders-Jeerakham-,UNMAPPED,UNMAPPED,,0.45
five Star Traders-Nool,UNMAPPED,UNMAPPED,,0.45
five Star Traders-Soya chunk,UNMAPPED,UNMAPPED,,0.5128
five Star Traders-badam,UNMAPPED,UNMAPPED,,0.4444
five Star Traders-black papper,UNMAPPED,UNMAPPED,,0.45
five Star Traders-black papper-,UNMAPPED,UNMAPPED,,0.45
five Star Traders-cashew nut,UNMAPPED,UNMAPPED,,0.45
five Star Traders-cashew nut-,UNMAPPED,UNMAPPED,,0.45
five Star Traders-cashewnut-,UNMAPPED,UNMAPPED,,0.45
five Star Traders-exo dish wash soap-,UNMAPPED,UNMAPPED,,0.45
five Star Traders-honey 250grm,UNMAPPED,UNMAPPED,,0.3913
five Star Traders-kadala,UNMAPPED,UNMAPPED,,0.45
fruits,UNMAPPED,UNMAPPED,,0.45
fruits and vegetables,UNMAPPED,UNMAPPED,,0.45
funel,UNMAPPED,UNMAPPED,,0.4286
grocery,UNMAPPED,UNMAPPED,,0.45
hungritos premium,UNMAPPED,UNMAPPED,,0.45
ice cube,UNMAPPED,UNMAPPED,,0.45
ice cube/70,UNMAPPED,UNMAPPED,,0.45
ice cube/80,UNMAPPED,UNMAPPED,,0.45
isha veg,UNMAPPED,UNMAPPED,,0.45
isham veg,UNMAPPED,UNMAPPED,,0.45
kadala brown,UNMAPPED,UNMAPPED,,0.45
kitchen towel,UNMAPPED,UNMAPPED,,0.45
kovakka-veg,UNMAPPED,UNMAPPED,,0.45
lighter,UNMAPPED,UNMAPPED,,0.45
mango crush taste craft,UNMAPPED,UNMAPPED,,0.4706
mbS Traders-Egg,UNMAPPED,UNMAPPED,,0.45
mbS Traders-Micro 20x26,UNMAPPED,UNMAPPED,,0.45
mbS Traders-Vilakenna,UNMAPPED,UNMAPPED,,0.45
mbS Traders-agarbatti,UNMAPPED,UNMAPPED,,0.4375
mbS Traders-egg,UNMAPPED,UNMAPPED,,0.45
mbS Traders-jumbo cover,UNMAPPED,UNMAPPED,,0.45
mbS Traders-micro 10x14,UNMAPPED,UNMAPPED,,0.45
mbS Traders-micro 13x16,UNMAPPED,UNMAPPED,,0.45
mbS Traders-micro 16x20,UNMAPPED,UNMAPPED,,0.45
mbS Traders-micro 27x30,UNMAPPED,UNMAPPED,,0.45
mosquito bat,UNMAPPED,UNMAPPED,,0.4762
nimboz,UNMAPPED,UNMAPPED,,0.45
nuggets sneha,UNMAPPED,UNMAPPED,,0.5143
nuggets sumeru,UNMAPPED,UNMAPPED,,0.5
packing meterials,UNMAPPED,UNMAPPED,,0.45
pappaya-veg,UNMAPPED,UNMAPPED,,0.45
parsely,UNMAPPED,UNMAPPED,,0.45
payar,UNMAPPED,UNMAPPED,,0.45
payyar-veg,UNMAPPED,UNMAPPED,,0.45
plaster-Medical,UNMAPPED,UNMAPPED,,0.45
red paprica 680gm,UNMAPPED,UNMAPPED,,0.45
red paprika habit,UNMAPPED,UNMAPPED,,0.45
red paprika habit 670ml,UNMAPPED,UNMAPPED,,0.45
roasted peanuts,UNMAPPED,UNMAPPED,,0.45
rubber band,UNMAPPED,UNMAPPED,,0.45
sirocco black olive,UNMAPPED,UNMAPPED,,0.5143
sky vanilla 4 ltr,UNMAPPED,UNMAPPED,,0.4444
stationery,UNMAPPED,UNMAPPED,,0.45
veg,UNMAPPED,UNMAPPED,,0.4444
veg fruit grocery,UNMAPPED,UNMAPPED,,0.45
vegetable n fruit,UNMAPPED,UNMAPPED,,0.45
vegetables,UNMAPPED,UNMAPPED,,0.45
Airtel-mobile recharge,UTILITIES & EXPENSES,mobile recharge,mobile recharge,0.92
Airtel-recharge-,UTILITIES & EXPENSES,recharge,recharge,0.92
Bike Maintenance-Puncture repair-Discover,UTILITIES & EXPENSES,bike maintenance,bike maintenance,0.92
Bike Maintenance-Tyre And Tube change-,UTILITIES & EXPENSES,bike maintenance,bike maintenance,0.92
Gas-LPG-HPCL,UTILITIES & EXPENSES,lpg gas,lpg gas,0.9
Gas-LPG-IOCL,UTILITIES & EXPENSES,lpg gas,lpg gas,0.9
HPCL-GAS,UTILITIES & EXPENSES,lpg gas,lpg gas,0.6667
HPCL-Gas,UTILITIES & EXPENSES,lpg gas,lpg gas,0.6667
HPCL-Gas-,UTILITIES & EXPENSES,lpg gas,lpg gas,0.6667
HPCL-Petrol,UTILITIES & EXPENSES,petrol,petrol,0.92
HPCL-gas,UTILITIES & EXPENSES,lpg gas,lpg gas,0.6667
HPCL-gas-,UTILITIES & EXPENSES,lpg gas,lpg gas,0.6667
Indian Oil-Generator-,UTILITIES & EXPENSES,generator fuel,generator fuel,0.5294
Indian Oil-petrol,UTILITIES & EXPENSES,petrol,petrol,0.92
Maintenance-Bike tube replace,UTILITIES & EXPENSES,bike maintenance,bike maintenance,0.9
Nayara Energy-petrol,UTILITIES & EXPENSES,petrol,petrol,0.92
Petrol,UTILITIES & EXPENSES,petrol,petrol,1.0
Petrol-BPCL,UTILITIES & EXPENSES,petrol,petrol,0.92
Petrol-HPCL,UTILITIES & EXPENSES,petrol,petrol,0.92
Petrol-IOCL,UTILITIES & EXPENSES,petrol,petrol,0.92
Petrol-Nayara,UTILITIES & EXPENSES,petrol,petrol,0.92
Rent-Staff Room Remt,UTILITIES & EXPENSES,rent,rent,0.92
Satheesh-Waste Collection,UTILITIES & EXPENSES,waste collection,waste collection,0.92
Satheesh-Waste Collection-,UTILITIES & EXPENSES,waste collection,waste collection,0.92
Transportation-,UTILITIES & EXPENSES,transportation charges,transportation charges,0.92
Transportation-Auto fare,UTILITIES & EXPENSES,transportation charges,transportation charges,0.7826
Transportation-Auto fare from Otp-,UTILITIES & EXPENSES,transportation charges,transportation charges,0.6545
Transportation-Origano-,UTILITIES & EXPENSES,transportation charges,transportation charges,0.7727
Transportation-transportation-,UTILITIES & EXPENSES,transportation charges,transportation charges,0.9
Transportation-transportation-vegitables,UTILITIES & EXPENSES,transportation charges,transportation charges,0.6129
Transportation-vegitables,UTILITIES & EXPENSES,transportation charges,transportation charges,0.766
Transportation-vegitables-,UTILITIES & EXPENSES,transportation charges,transportation charges,0.766
jio-mobile recharge-,UTILITIES & EXPENSES,mobile recharge,mobile recharge,0.92
labour Charges-Union Charges,UTILITIES & EXPENSES,labour charges,labour charges,0.92
petrol,UTILITIES & EXPENSES,petrol,petrol,1.0
BASIL,VEGETABLES,fresh basil,fresh basil,0.95
Baby Corn Tasty 450G,VEGETABLES,baby corn,baby corn,0.92
Baby Corn Whole,VEGETABLES,baby corn,baby corn,0.95
Baby Corn Whole-450GM-Golden Crown,VEGETABLES,baby corn,baby corn,0.92
Baby Corn Whole-450gm,VEGETABLES,baby corn,baby corn,0.92
Baby Corn Whole-800GM-Tajir Habit,VEGETABLES,baby corn,baby corn,0.92
Baby Corn Whole-Fresh,VEGETABLES,baby corn,baby corn,0.95
Baby Corn Whole-Fresh-Isha Vegitables,VEGETABLES,baby corn,baby corn,0.92
Basil,VEGETABLES,fresh basil,fresh basil,0.95
Basil-fresh,VEGETABLES,fresh basil,fresh basil,0.95
Basil-fresh-Isha Vegitables,VEGETABLES,fresh basil,fresh basil,0.9
Beans-veg,VEGETABLES,beans,beans,0.95
Bitter Guard-Veg,VEGETABLES,bitter gourd,bitter gourd,0.7857
Broccoli-royal,VEGETABLES,broccoli,broccoli,0.92
Carrot-Veg,VEGETABLES,carrot,carrot,0.95
Centreal Bazar-Parsley Herbs,VEGETABLES,parsley,parsley,0.92
Cheera-veg,VEGETABLES,cheera,cheera,0.95
Coriander Leaves-Veg,VEGETABLES,coriander leaves,coriander leaves,0.95
Cucumber-veg,VEGETABLES,cucumber,cucumber,0.95
DVC Mint Flavoured Syrup 750 ml,VEGETABLES,mint,mint,0.92
Dvc-Cucumber-750Ml,VEGETABLES,cucumber,cucumber,0.92
Dvc-Fresh Garden Mint-750Ml,VEGETABLES,mint,mint,0.92
Fresh Garden Mint,VEGETABLES,mint,mint,0.92
Fresh Garden Mint-750ml,VEGETABLES,mint,mint,0.92
G.Crown Mushroom Slice 800g,VEGETABLES,mushroom,mushroom,0.92
Garlic Paste,VEGETABLES,garlic,garlic,0.92
Garlic-Veg,VEGETABLES,garlic,garlic,0.95
Ginger-Veg,VEGETABLES,ginger,ginger,0.95
Golden Crown-Baby Corn Whole-450Gm,VEGETABLES,baby corn,baby corn,0.92
Golden Crown-Mushroom Slice-800Gm,VEGETABLES,mushroom,mushroom,0.92
Isha Fresh Vegitables-Basil leaf-,VEGETABLES,fresh basil,fresh basil,0.9
Isha Fresh Vegitables-Broccoli-,VEGETABLES,broccoli,broccoli,0.92
Ladyfinger,VEGETABLES,ladyfinger,ladyfinger,1.0
Lemon Pickle-500grm-pkt,VEGETABLES,lemon,lemon,0.92
Lemon-Veg,VEGETABLES,lemon,lemon,0.95
Local Purchase-Mint,VEGETABLES,mint,mint,0.92
Local Purchase-lemon,VEGETABLES,lemon,lemon,0.92
Local Purchase-whole chilli,VEGETABLES,green chilli,green chilli,0.9
Maida yamuna,VEGETABLES,yam,yam,0.92
Mint-Veg,VEGETABLES,mint,mint,0.95
Mushroom Slice,VEGETABLES,mushroom,mushroom,0.92
Mushroom Slice-800gm,VEGETABLES,mushroom,mushroom,0.92
Okra-Veg,VEGETABLES,okra,okra,0.95
Onion-Veg,VEGETABLES,onion,onion,0.95
PTM stores-whole chilli,VEGETABLES,green chilli,green chilli,0.9
Potato-Veg,VEGETABLES,potato,potato,0.95
Puramate Basil 250g Pouch,VEGETABLES,fresh basil,fresh basil,0.9
Red yellow capsicum,VEGETABLES,capsicum,capsicum,0.95
Red yellow capsicum-isha Vegitable,VEGETABLES,capsicum,capsicum,0.92
TOMATO 10KG,VEGETABLES,tomato,tomato,0.92
Tajir Habit-Baby Corn Whole-800Gm,VEGETABLES,baby corn,baby corn,0.92
Tomato,VEGETABLES,tomato,tomato,1.0
Tomato-Veg,VEGETABLES,tomato,tomato,0.95
baby corn,VEGETABLES,baby corn,baby corn,1.0
bottle gourd,VEGETABLES,bitter gourd,bitter gourd,0.8333
cabbage-veg,VEGETABLES,cabbage,cabbage,0.95
canvill button mushroom,VEGETABLES,mushroom,mushroom,0.92
capsicum,VEGETABLES,capsicum,capsicum,1.0
chilly garlic spread,VEGETABLES,garlic,garlic,0.92
five Star Traders-whole chilli,VEGETABLES,green chilli,green chilli,0.9
garlic,VEGETABLES,garlic,garlic,1.0
ginger,VEGETABLES,ginger,ginger,1.0
habit baby corn,VEGETABLES,baby corn,baby corn,0.92
hybrid tomato,VEGETABLES,tomato,tomato,0.92
lemon,VEGETABLES,lemon,lemon,1.0
maida yamuna,VEGETABLES,yam,yam,0.92
mint,VEGETABLES,mint,mint,1.0
mushroom slice Food coast,VEGETABLES,mushroom,mushroom,0.92
onion,VEGETABLES,onion,onion,1.0
raw papaya,VEGETABLES,raw papaya,raw papaya,1.0
tomato,VEGETABLES,tomato,tomato,1.0
tomato and fruits,VEGETABLES,tomato,tomato,0.92
tomato hibreed,VEGETABLES,tomato,tomato,0.92
yam-veg,VEGETABLES,yam,yam,0.95
